Model;time;RecSurf_obs;RecSurf_obs_std;RecSurf_fac;IL13_cell_obs;IL13_cell_obs_std;IL13_cell_fac;pIL4Ra_obs;pIL4Ra_obs_std;pIL4Ra_fac;pJAK2_obs;pJAK2_obs_std;pJAK2_fac;SOCS3mRNA_obs;SOCS3mRNA_obs_std;SOCS3mRNA_fac;CD274mRNA_obs;CD274mRNA_obs_std;CD274mRNA_fac;SOCS3_obs;SOCS3_obs_std;SOCS3_fac;pSTAT5_obs;pSTAT5_obs_std;pSTAT5_fac
2;10;0;1;0;4.129735323;0.570477945;1;1.40013759;0.580501498;1;1.388817503;0.305782643;1;0;1;0;0;1;0;0;1;0;32.81159437;6.783325291;1
2;15;0;1;0;5.016417523;0.601190076;1;2.223954642;0.580503255;1;2.02085372;0.305784515;1;0;1;0;0;1;0;0;1;0;50.80322648;10.32873933;1
2;20;0;1;0;4.932573221;0.612229638;1;2.258737723;0.580503824;1;2.10261027;0.305784783;1;15.59376831;35.70016131;1;0;1;0;23.88158667;16.72445278;1;68.99256124;12.97519381;1
2;25;0;1;0;0;1;0;0;1;0;1.642938963;0.305784465;1;0;1;0;0;1;0;0;1;0;107.9066904;14.81141773;1
2;30;0;1;0;6.024846242;0.617110731;1;1.541743723;0.580504009;1;2.055630098;0.305783909;1;29.66110989;69.0531347;1;0.01;0.168761106;1;0;1;0;111.5714137;16.03729436;1
2;35;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;106.7423055;16.82714498;1
2;40;0;1;0;6.352183583;0.616827499;1;1.659951486;0.580503936;1;1.764426702;0.305782558;1;250.7513584;107.5538484;1;0;1;0;79.71985958;27.13600854;1;104.28;17.31102419;1
2;45;0;1;0;0;1;0;2.283486889;0.580503886;1;1.81682256;0.30578186;1;0;1;0;0;1;0;0;1;0;125.2740088;17.58130965;1
2;50;0;1;0;5.878980129;0.615792592;1;0;1;0;1.099656357;0.305781175;1;0;1;0;0;1;0;0;1;0;115.7026455;17.70253076;1
2;60;0;1;0;5.07614223;0.614648872;1;1.364989369;0.580503726;1;1.480674485;0.305779885;1;208.0216845;188.8184636;1;0.67477531;0.457675478;1;148.678;38.42747416;1;128.2373073;17.66390376;1
2;70;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;123.2374928;17.41592143;1
2;80;0;1;0;6.210911678;0.612339931;1;0;1;0;1.584028801;0.305777704;1;719.6189149;268.9256664;1;0;1;0;259.1129009;47.07151591;1;89.65411083;17.06920372;1
2;90;0;1;0;0;1;0;0;1;0;0;1;0;1154.942401;307.6774243;1;2.304976603;0.744403384;1;271.9076533;50.35806296;1;65.83056831;16.68139891;1
2;100;0;1;0;5.946744701;0.610049398;1;0;1;0;0.922925871;0.305776046;1;504.6313426;345.4461714;1;0;1;0;255.3756956;53.07157632;1;108.2978696;16.28378563;1
2;120;0;1;0;5.094519064;0.607780585;1;0;1;0;1.204385534;0.305774816;1;1017.019576;418.0657013;1;1.774992771;1.010697144;1;204.4612162;57.16270705;1;80.75011175;15.52160878;1
3;0;1.40469351;0.09585014;1;0;1;0;0.338107913;0.58048155;1;0.187105104;0.305764023;1;0;1;0;0;1;0;0;1;0;1.598406966;1.320936767;1
3;2.5;0;1;0;0;1;0;0;1;0;0.533560311;0.305765372;1;0;1;0;0;1;0;0;1;0;0;1;0
3;4;0;1;0;0;1;0;1.084337349;0.580484395;1;0.645132088;0.305766676;1;0;1;0;0;1;0;0;1;0;0;1;0
3;5;0;1;0;1.185996361;0.313827103;1;0.539111503;0.580484883;1;0.639432248;0.305767563;1;0;1;0;0;1;0;0;1;0;2.012148639;1.756148996;1
3;7;0;1;0;0;1;0;0.299787385;0.580485626;1;0.245165007;0.305769255;1;0;1;0;0;1;0;0;1;0;0;1;0
3;7.5;0;1;0;0;1;0;0;1;0;0.152528245;0.305769652;1;0;1;0;0;1;0;0;1;0;0;1;0
3;10;1.36298049;0.102961629;1;1.458203202;0.344716163;1;0.845156744;0.580486314;1;0.834682988;0.305771457;1;0;1;0;0;1;0;0;1;0;7.644693901;3.262536124;1
3;12.5;0;1;0;0;1;0;0;1;0;1.45841689;0.305772954;1;0;1;0;0;1;0;0;1;0;0;1;0
3;15;0;1;0;1.797026064;0.363250181;1;1.175990856;0.580486833;1;1.288880253;0.305774151;1;0;1;0;0;1;0;0;1;0;30.339995;5.331109048;1
3;17.5;0;1;0;0;1;0;1.35788895;0.580486948;1;1.275386838;0.305775069;1;0;1;0;0;1;0;0;1;0;0;1;0
3;20;1.333586237;0.102951313;1;1.783243439;0.376051487;1;1.442254159;0.580487016;1;1.432895442;0.305775739;1;0;1;0;0;1;0;0;1;0;34.49644889;7.45435138;1
3;22.5;0;1;0;0;1;0;1.123066049;0.580487055;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
3;25;0;1;0;0;1;0;1.551873086;0.580487078;1;0.842800855;0.305776486;1;0;1;0;0;1;0;0;1;0;54.73958911;9.336223684;1
3;30;1.210536056;0.102832361;1;2.295497663;0.393660058;1;1.147885063;0.580487097;1;1.367164849;0.305776687;1;0;1;0;0;1;0;0;1;0;48.86794422;10.86484949;1
3;35;0;1;0;0;1;0;0.995444907;0.580487102;1;1.753162054;0.305776565;1;0;1;0;0;1;0;0;1;0;57.76829847;12.03779355;1
3;40;0;1;0;2.470077578;0.405502643;1;1.242317637;0.580487102;1;1.434440914;0.305776261;1;0;1;0;0;1;0;0;1;0;68.400004;12.89906362;1
3;45;0;1;0;0;1;0;1.28102483;0.580487099;1;1.036951691;0.305775856;1;0;1;0;0;1;0;0;1;0;57.5319745;13.50433455;1
3;50;0;1;0;2.514871109;0.413767659;1;1.194533888;0.580487096;1;1.150316562;0.305775399;1;0;1;0;0;1;0;0;1;0;84.08635186;13.90609251;1
3;60;1.256908767;0.102469175;1;2.656143014;0.419569257;1;1.133331567;0.58048709;1;1.37390999;0.305774439;1;0;1;0;0;1;0;0;1;0;80.47435164;14.26838118;1
3;70;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;66.61604471;14.24506628;1
3;75;0;1;0;0;1;0;0;1;0;1.216679546;0.305773058;1;0;1;0;0;1;0;0;1;0;0;1;0
3;80;0;1;0;2.955915105;0.426491681;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;57.65815916;13.99535796;1
3;90;1.255595571;0.102107481;1;0;1;0;0;1;0;1.490035697;0.305771853;1;0;1;0;0;1;0;0;1;0;0;1;0
3;100;0;1;0;3.199408144;0.42986665;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;52.79857246;13.16533868;1
3;105;0;1;0;0;1;0;0;1;0;0.365588806;0.305770845;1;0;1;0;0;1;0;0;1;0;0;1;0
3;120;1.230653226;0.101747196;1;2.6205379;0.431476587;1;0;1;0;0.66753154;0.305770017;1;0;1;0;0;1;0;0;1;0;56.17671662;12.1872052;1
4;0;1.321308168;0.09585014;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;6.04829306;14.29278826;1;0;1;0
4;5;0;1;0;9.781760071;0.7986684;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
4;10;1.179069779;0.081473895;1;9.951745778;0.904061634;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
4;15;0;1;0;10.67418503;0.934962569;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
4;20;1.042164123;0.080353868;1;11.24846107;0.943468778;1;0;1;0;0;1;0;0;1;0;0;1;0;6.231540693;17.73313025;1;0;1;0
4;30;1.056526564;0.079440783;1;12.74732152;0.942500263;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
4;40;0;1;0;12.39816169;0.936712996;1;0;1;0;0;1;0;0;1;0;0;1;0;87.45060405;29.10290875;1;0;1;0
4;50;0;1;0;10.96936291;0.930397951;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
4;60;1.056091246;0.076765525;1;8.286345273;0.924081688;1;0;1;0;0;1;0;0;1;0;0;1;0;103.2714398;40.32892552;1;0;1;0
4;80;0;1;0;11.34493944;0.911644631;1;0;1;0;0;1;0;0;1;0;0;1;0;221.7408479;48.65855919;1;0;1;0
4;90;1.078735295;0.074180385;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
4;100;0;1;0;11.19792478;0.899486781;1;0;1;0;0;1;0;0;1;0;0;1;0;262.8501062;54.38595404;1;0;1;0
4;120;0.929233191;0.071682112;1;10.55243851;0.88760306;1;0;1;0;0;1;0;0;1;0;0;1;0;140.7680663;58.29425638;1;0;1;0
